date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:10:16	8959/8959	---MC-	200	added ('OK')	text/html	date:Thu,%2022%20Aug%202024%2013:14:46%20GMT	https://niueship.com/registry/services/authenticate?cn=PCOR22R11693SDV&type=PCOR_SDV&token=eb059a9e7400d268d4e98653472be812	D:/niue/niueship.com/registry/services/authenticate28f1.html	(from )
20:10:17	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2022%20Aug%202024%2013:14:46%20GMT	https://niueship.com/robots.txt		(from )
20:10:17	152717/152717	---M--	200	added ('OK')	text/css	etag:%221d548201247c58d%22	https://niueship.com/registry/lib/bootstrap/dist/css/bootstrap.css	D:/niue/niueship.com/registry/lib/bootstrap/dist/css/bootstrap.css	(from https://niueship.com/registry/services/authenticate?cn=PCOR22R11693SDV&type=PCOR_SDV&token=eb059a9e7400d268d4e98653472be812)
20:10:18	61279/61279	---M--	200	added ('OK')	text/css	etag:%221d5bc998bdf605f%22	https://niueship.com/registry/css/site.css?v=2.2	D:/niue/niueship.com/registry/css/site6da2.css	(from https://niueship.com/registry/services/authenticate?cn=PCOR22R11693SDV&type=PCOR_SDV&token=eb059a9e7400d268d4e98653472be812)
20:10:18	182/182	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2022%20Aug%202024%2013:14:48%20GMT	https://niueship.com/images/loader/ajax-loader.gif	D:/niue/niueship.com/images/loader/ajax-loader.3.delayed	(from https://niueship.com/registry/services/authenticate?cn=PCOR22R11693SDV&type=PCOR_SDV&token=eb059a9e7400d268d4e98653472be812)
20:10:18	6690/6690	---M--	200	added ('OK')	image/gif	etag:%221d54820107bd7a2%22	https://niueship.com/registry/images/loader/ajax-loader.gif	D:/niue/niueship.com/registry/images/loader/ajax-loader.gif	(from https://niueship.com/registry/services/authenticate?cn=PCOR22R11693SDV&type=PCOR_SDV&token=eb059a9e7400d268d4e98653472be812)
20:10:19	6951/6951	---M--	200	added ('OK')	text/css	etag:%221d3fdfd7677f027%22	https://niueship.com/registry/css/magnific-popup.css	D:/niue/niueship.com/registry/css/magnific-popup.css	(from https://niueship.com/registry/services/authenticate?cn=PCOR22R11693SDV&type=PCOR_SDV&token=eb059a9e7400d268d4e98653472be812)
20:10:19	61279/61279	---M--	200	added ('OK')	text/css	etag:%221d5bc998bdf605f%22	https://niueship.com/registry/css/site.css	D:/niue/niueship.com/registry/css/site.css	(from https://niueship.com/registry/services/authenticate?cn=PCOR22R11693SDV&type=PCOR_SDV&token=eb059a9e7400d268d4e98653472be812)
20:10:19	7255/7255	---M--	200	added ('OK')	image/png	etag:%221d5482011147857%22	https://niueship.com/registry/images/warning.png	D:/niue/niueship.com/registry/images/warning.png	(from https://niueship.com/registry/services/authenticate?cn=PCOR22R11693SDV&type=PCOR_SDV&token=eb059a9e7400d268d4e98653472be812)
20:10:20	72084/72084	---M--	200	added ('OK')	application/javascript	etag:%221d5482012448894%22	https://niueship.com/registry/lib/bootstrap/dist/js/bootstrap.js	D:/niue/niueship.com/registry/lib/bootstrap/dist/js/bootstrap.js	(from https://niueship.com/registry/services/authenticate?cn=PCOR22R11693SDV&type=PCOR_SDV&token=eb059a9e7400d268d4e98653472be812)
20:10:21	84253/84253	---M--	200	added ('OK')	application/javascript	etag:%221d548201244d81d%22	https://niueship.com/registry/lib/jquery/jquery-2.1.1.min.js	D:/niue/niueship.com/registry/lib/jquery/jquery-2.1.1.min.js	(from https://niueship.com/registry/services/authenticate?cn=PCOR22R11693SDV&type=PCOR_SDV&token=eb059a9e7400d268d4e98653472be812)
20:10:21	539427/539427	---M--	200	added ('OK')	application/javascript	etag:%221d54820124daa23%22	https://niueship.com/registry/lib/jquery/jquery-ui-1.12.1.custom/jquery-ui-1.12.1.custom/jquery-ui.js	D:/niue/niueship.com/registry/lib/jquery/jquery-ui-1.12.1.custom/jquery-ui-1.12.1.custom/jquery-ui.js	(from https://niueship.com/registry/services/authenticate?cn=PCOR22R11693SDV&type=PCOR_SDV&token=eb059a9e7400d268d4e98653472be812)
20:10:21	43589/43589	---M--	200	added ('OK')	application/javascript	etag:%221d548201114ce45%22	https://niueship.com/registry/js/jquery.magnific-popup.js	D:/niue/niueship.com/registry/js/jquery.magnific-popup.js	(from https://niueship.com/registry/services/authenticate?cn=PCOR22R11693SDV&type=PCOR_SDV&token=eb059a9e7400d268d4e98653472be812)
20:10:22	9178/9178	---M--	200	added ('OK')	application/javascript	etag:%221d7207e246fc6da%22	https://niueship.com/registry/js/site.js	D:/niue/niueship.com/registry/js/site.js	(from https://niueship.com/registry/services/authenticate?cn=PCOR22R11693SDV&type=PCOR_SDV&token=eb059a9e7400d268d4e98653472be812)
20:10:23	21093/21093	---M--	200	added ('OK')	application/javascript	etag:%221d548201245c365%22	https://niueship.com/registry/lib/jquery-validation/dist/jquery.validate.min.js	D:/niue/niueship.com/registry/lib/jquery-validation/dist/jquery.validate.min.js	(from https://niueship.com/registry/services/authenticate?cn=PCOR22R11693SDV&type=PCOR_SDV&token=eb059a9e7400d268d4e98653472be812)
20:10:23	5411/5411	---M--	200	added ('OK')	application/javascript	etag:%221d5482012458423%22	https://niueship.com/registry/lib/jquery-validation-unobtrusive/jquery.validate.unobtrusive.min.js	D:/niue/niueship.com/registry/lib/jquery-validation-unobtrusive/jquery.validate.unobtrusive.min.js	(from https://niueship.com/registry/services/authenticate?cn=PCOR22R11693SDV&type=PCOR_SDV&token=eb059a9e7400d268d4e98653472be812)
20:10:23	8942/8942	---M--	200	added ('OK')	image/gif	etag:%221d54820107bef6e%22	https://niueship.com/registry/gif/loading.gif	D:/niue/niueship.com/registry/gif/loading.gif	(from https://niueship.com/registry/css/site.css?v=2.2)
